year,mts_public_issues_total,tips_inflation_compensation,frn_interest_expense_proxy,nonmarketable_public_issue_interest_proxy,marketable_fixed_coupon_bill_residual,explicit_closure_gap,component_sum,gap_vs_total,tolerance,pass
2021,400.223000,82.754000,2.317168,5.556655,309.595177,0.000000,400.223000,0.000000,0.001000,TRUE
2022,529.189000,143.326000,20.654601,16.891686,348.316713,0.000000,529.189000,0.000000,0.001000,TRUE
2023,737.295000,59.226000,28.776950,22.024657,627.267393,0.000000,737.295000,0.000000,0.001000,TRUE
2024,921.392000,57.019000,28.929910,22.093921,813.349169,0.000000,921.392000,0.000000,0.001000,TRUE
