calendar_year,ici_table39_paid_total_incl_reinvested_bil,ici_table39_reinvested_memo_bil,ici_table39_cash_only_paid_minus_reinvested_bil,incorrect_paid_plus_reinvested_double_count_bil,sec_accrual_low_prior_or_current_yield_bil,sec_accrual_base_avg_assets_avg_yield_bil,sec_accrual_high_prior_or_current_yield_bil,sec_accrual_current_assets_trap_yield_bil,sec_accrual_current_assets_current_yield_bil,sec_avg_assets_proxy_bil,sec_base_implied_avg_net_yield_pct,model_net_income_bil,model_minus_ici_paid_bil,model_minus_sec_accrual_base_bil,sec_accrual_base_minus_ici_paid_bil,model_to_ici_paid_ratio,model_to_sec_accrual_base_ratio,perimeter_reconciliation_note
2022,26.573000,13.873000,12.700000,40.446000,64.993247,73.586170,82.179093,73.820818,82.435730,5099.033333,1.443140,66.927286,40.354286,-6.658884,47.013170,2.518620,0.909509,"ICI paid total is paid distributions including reinvestment; SEC construction is accrual/snapshot-based net-yield income. Difference is perimeter/timing/accounting, not reinvested-dividend add-on."
2023,235.525000,161.905000,73.620000,397.430000,282.600306,285.265789,287.931271,287.536370,290.234386,5863.820833,4.864845,296.538236,61.013236,11.272447,49.740789,1.259052,1.039516,"ICI paid total is paid distributions including reinvestment; SEC construction is accrual/snapshot-based net-yield income. Difference is perimeter/timing/accounting, not reinvested-dividend add-on."
2024,297.242000,216.708000,80.534000,513.950000,328.544276,331.090564,333.636852,332.810020,330.237361,6657.370833,4.973293,317.265988,20.023988,-13.824576,33.848564,1.067366,0.958245,"ICI paid total is paid distributions including reinvestment; SEC construction is accrual/snapshot-based net-yield income. Difference is perimeter/timing/accounting, not reinvested-dividend add-on."
