report_group_id,channel_id,report_view_id,additive_flag,exclusive_assignment_flag,source
public_interest_block,N_PI_00_NET_FEDERAL_PUBLIC_INTEREST_BLOCK,official,true,true,taxonomy_registry
government_interest,N_PI_01_DIRECT_TREASURY_INTEREST_DOMESTIC,official,true,true,taxonomy_registry
iorb,N_PI_03_IORB_RESERVES,official,true,true,taxonomy_registry
on_rrp,N_PI_04_ON_RRP_INCOME,official,true,true,taxonomy_registry
private_safe_yield,N_SAFE_YIELD_PRIVATE,official,true,true,derived_rwtas_v1
household_debt_service,D_HH_DEBT_SERVICE,official,true,true,derived_rwtas_v1
firm_debt_service,D_FIRM_DEBT_SERVICE,official,true,true,derived_rwtas_v1
curve_to_holders,N_CURVE_TO_HOLDERS,diagnostic,false,false,derived_rwtas_v1
leg_gross_diagnostic,GROSS_LEG_DIAGNOSTIC,diagnostic,false,false,derived_rwtas_v1
